"Ticker","Nome","Negócios","Última (R$)","Variação"
"BMEB3","Banco Mercantil do Brasil","100","23,00","-3,48%"
"CPLE5","Copel","100","20,03","+0,15%"
"TELB3","Telebras","100","14,20","+0,00%"
"NORD3","Nordon","100","8,00","-5,88%"
"PTNT4","Pettenati","100","7,85","+0,90%"
"DOHL3","Döhler","100","6,44","-0,46%"
"AVLL3","Alphaville","100","3,83","+0,26%"
"BMKS3","Monark","1","395,13","-1,22%"
"CBEE3","Ampla Energia","20.100","11,94","-0,50%"
"FIEI3","Fica","15.300","10,00","+7,41%"
"RPAD6","Alfa Holdings","13.300","8,40","+13,51%"
"GEPA4","Rio Paranapanema Energia","6.500","26,60","+0,30%"
"HOOT4","Hotéis Othon","6.200","2,80","-1,41%"
"BDLL3","Bardella","1.000","12,00","-4,00%"
"IGTI4","Jereissati Participações","900","9,77","-2,10%"
"IGTI4","Iguatemi","900","9,77","-2,10%"
"EQMA3B","Equatorial Maranhão","300","28,99","-0,07%"
"CEDO4","Cedro Têxtil","300","27,33","-1,83%"
"MRSA6B","MRS Logística","200","26,06","+0,00%"
"USIM6","Usiminas","200","15,00","-11,24%"
"DEXP4","Dexxos","200","11,28","+2,55%"
"BSLI4","Banco de Brasília","200","10,39","-4,59%"
"EKTR3","Elektro","100","45,35","-9,30%"
"MRSA5B","MRS Logística","100","26,06","+0,00%"
"CTKA4","Karsten","4.000","19,00","-0,58%"
"BMIN4","Banco Mercantil de Investimentos","500","15,30","-4,20%"
"MRSA3B","MRS Logística","400","28,00","+0,00%"
"LIPR3","Eletropar","300","51,90","+3,02%"
"CSRN3","COSERN","300","25,78","-2,72%"
"SOND5","Sondotécnica","200","54,65","+8,17%"
"LUXM4","Trevisa","200","15,70","+0,06%"
"UNIP5","Unipar","100","65,52","-2,51%"
"BGIP3","Banese","100","27,40","+0,40%"
"FESA3","Ferbasa","100","15,89","+2,52%"
"EALT3","Electro Aço Altona","100","9,88","+0,00%"
"CSRN5","COSERN","700","24,40","-0,41%"
"BALM3","Baumer","300","12,00","+6,86%"
"EMAE3","EMAE","100","70,00","+16,65%"
"CTKA3","Karsten","300","19,00","-5,00%"
"SOND6","Sondotécnica","200","57,98","+0,00%"
"CEDO3","Cedro Têxtil","200","33,00","+3,12%"
"AHEB3","São Paulo Turismo","100","19,00","+0,00%"
"GEPA3","Rio Paranapanema Energia","1.100","27,20","+6,67%"
"GSHP3","General Shopping & Outlets","700","10,80","+0,00%"
"ENMT4","Energisa MT","600","75,00","+0,00%"
"FRIO3","Metalfrio","200","301,00","-0,33%"
"TKNO4","Tekno","100","68,00","-1,43%"
"CSRN6","COSERN","100","24,00","+4,35%"
"JOPA3","Josapar","100","21,33","+1,57%"
"BNBR3","Banco do Nordeste","100","109,00","+2,35%"
"BRIV4","Alfa Investimento","700","12,54","+0,08%"
"ENMT3","Energisa MT","100","77,00","+0,67%"
"DTCY3","Dtcom","100","4,70","+5,62%"
"CRIV4","Alfa Financeira","90.000","6,74","+0,15%"
"CRPG3","Tronox Pigmentos","500","33,80","-4,79%"
"MOAR3","Monteiro Aranha","400","396,00","+0,25%"
"BRGE3","Consórcio Alfa","100","13,50","+0,00%"
"BRIV3","Alfa Investimento","3.000","12,86","+0,23%"
"ELET5","Eletrobras","1.000","99,00","+0,00%"
"BRGE6","Consórcio Alfa","400","12,92","+0,16%"
"PATI3","Panatlântica","100","29,90","+7,94%"
"DMFN3","DM Financeira","100","12,50","+0,00%"
"EQPA6","Equatorial Energia Pará","600","9,00","+0,00%"
"CRIV3","Alfa Financeira","300","6,98","+0,14%"
"BRKM6","Braskem","100","15,18","-5,07%"
"BRGE12","Consórcio Alfa","100","13,47","-0,88%"
"BRGE11","Consórcio Alfa","300","13,18","+0,08%"
"GPAR3","CELGPAR","100","47,50","+11,06%"
"PATI4","Panatlântica","300","33,00","+3,12%"
"RPAD3","Alfa Holdings","1.000","8,40","+0,12%"
"TEKA4","Teka","700","40,95","+2,38%"
"MSPA4","Melhoramentos","2.100","37,00","-2,63%"
"WLMM3","WLM","200","22,81","-6,32%"
"TEKA3","Teka","300","50,00","+0,00%"
"EQPA7","Equatorial Energia Pará","8.000","7,51","+0,00%"
"BRGE5","Consórcio Alfa","100","13,18","+0,08%"
"BRGE8","Consórcio Alfa","400","13,17","+12,95%"
"MSPA3","Melhoramentos","100","43,00","+0,00%"
"CEEB5","COELBA","100","36,86","+0,03%"
"MWET3","Wetzel","100","13,30","+0,00%"
"BRGE7","Consórcio Alfa","500","13,07","-3,54%"
